Orthography	Segments
A B D O L L A H	æ b d ɑ l ʌ
A M A S S	ʌ m æ s
A N G L O P H I L E	æ n ɡ l ʌ f aɪ l
A N T I C	æ n t ɪ k
A R J O	ɑ ɹ j oʊ
A S T R A D D L E	ʌ s t ɹ æ d ʌ l
B A H L S	b ɑ l z
B L O W E D	b l oʊ d
B O N V I L L A I N	b ɑ n v ɪ l eɪ n
B R A G A	b ɹ ɑ ɡ ʌ
B U R D I	b ʊ ɹ d i
B U R K E R T	b ɝ k ɝ t
B U R R E S S	b ɝ ʌ s
C A E T A N O	k ʌ t ɑ n oʊ
C H E R Y L	ʃ ɛ ɹ ʌ l
C L E M E N C E	k l ɛ m ʌ n s
C O L V I N	k oʊ l v ɪ n
C O N V E N T I O N S	k ʌ n v ɛ n ʃ ʌ n z
C R E A S Y	k ɹ i s i
C R E T I E N	k ɹ i ʃ j ʌ n
C R O C E	k ɹ oʊ tʃ i
D A Y L O N G	d eɪ l ɔ ŋ
D E P R E C A T I N G	d ɛ p ɹ ʌ k eɪ t ɪ ŋ
D E R H A M	d ɝ h ʌ m
D R E C H S L E R	d ɹ ɛ k s l ɝ
E P I G R A P H I C	ɛ p ɪ ɡ ɹ æ f ɪ k
E X C E P T I O N A L L Y	ɪ k s ɛ p ʃ ʌ n ʌ l i
F A T H E R E D	f ɑ ð ɝ d
F L E X	f l ɛ k s
F Y K E	f aɪ k
G A L L I N G	ɡ ɔ l ɪ ŋ
G A L L O W A Y S	ɡ æ l oʊ w eɪ z
G E E S	dʒ i s
G O D I N O	ɡ oʊ d i n oʊ
G R A N D K I D	ɡ ɹ æ n k ɪ d
G U Z Z L I N G	ɡ ʌ z ʌ l ɪ ŋ
H A R A S S E S	h ɝ æ s ɪ z
H A R D L I N E	h ɑ ɹ d l aɪ n
I O W A N S	aɪ oʊ ʌ n z
K E R R I G A N	k ɛ ɹ ɪ ɡ ʌ n
K R A C H	k ɹ æ tʃ
L E A F L E T S	l i f l ʌ t s
M A B E R Y	m æ b ɝ i
M A N C I L L A	m æ n s ɪ l ʌ
M A R C U S	m ɑ ɹ k ʌ s
M A R S H A	m ɑ ɹ ʃ ʌ
M C I N E R N E Y	m æ k ʌ n ɛ ɹ n i
M I X O N	m ɪ k s ʌ n
N E U R O S U R G E O N S	n ʊ ɹ oʊ s ɝ dʒ ʌ n z
N E Y L O N	n eɪ l ʌ n
N O O D L E	n u d ʌ l
O H A N E S I A N	oʊ h ʌ n ɛ ʒ ɪ n
O K I N A W A N S	oʊ k ɪ n ɑ w ɑ n z
P A G N I	p æ ɡ n i
P A R S I M O N I O U S	p ɑ ɹ s ʌ m oʊ n i ʌ s
P A R T E N	p ɑ ɹ t ʌ n
P A S T E U R	p ʌ s t u ɹ
P A T T O N S	p æ t ʌ n z
P E N A S	p eɪ n j ʌ z
P I G G O T T	p ɪ ɡ ʌ t
P L O N S K I	p l ɑ n s k i
P R E F E R E N T I A L L Y	p ɹ ɛ f ɝ ɛ n ʃ ʌ l i
P R O D U C T I O N S	p ɹ ʌ d ʌ k ʃ ʌ n z
P R U S	p ɹ u z
R A I L S	ɹ eɪ l z
R E C U R R I N G	ɹ ɪ k ɝ ɪ ŋ
R O B L I N G	ɹ oʊ b ʌ l ɪ ŋ
R U M M A G E	ɹ ʌ m ɪ dʒ
R U S E L E R	ɹ u s ɪ l ɝ
S A M A R I N	s ɑ m ɑ ɹ i n
S C H E M M E L	ʃ ɛ m ʌ l
S C H O M A K E R	ʃ oʊ m eɪ k ɝ
S E D G L E Y	s ɛ dʒ l i
S H I N A U L T	ʃ ɪ n aʊ l t
S H O E P R I N T S	ʃ u p ɹ ɪ n t s
S H U D D E R S	ʃ ʌ d ɝ z
S H U L A R	ʃ u l ɝ
S I G N A L L E D	s ɪ ɡ n ʌ l d
S I N G H	s ɪ ŋ
S I N K F I E L D	s ɪ ŋ k f i l d
S J O Q U I S T	ʃ oʊ k w ɪ s t
S M I T H S O N I A N S	s m ɪ θ s oʊ n i ʌ n z
S T I G	s t ɪ ɡ
S T I L L E R	s t ɪ l ɝ
S T R N A D	s t ɝ n æ d
S T U A R T	s t u ɝ t
S W A T Z E L L	s w ɔ t z ʌ l
S W E E T L A N D	s w i t l ʌ n d
S Y N C O P A T E D	s ɪ ŋ k ʌ p eɪ t ɪ d
T E A C H O U T	t i tʃ aʊ t
T O D A Y L L	t ʌ d eɪ l
T R E X L E R	t ɹ ɛ k s l ɝ
T R O U T N E R	t ɹ aʊ t n ɝ
T Y L K A	t ɪ l k ʌ
V A N A L S T Y N E	v æ n ʌ l s t aɪ n
V I T E Z	v ɪ t ɛ z
W H I T T L I N G	h w ɪ t l ɪ ŋ
W I G H T	w aɪ t
W I T T M E Y E R	w ɪ t m aɪ ɝ
Z O S T E R	z ɑ s t ɝ
